id_municipio,id_cetesb
3500105,150
3500204,151
3500303,152
3500402,154
3500501,153
3500550,607
3500600,155
3500709,156
3500758,732
3500808,157
3500907,158
3501004,159
3501103,160
3501152,733
3501202,161
3501301,162
3501400,163
3501509,164
3501608,165
3501707,166
3501806,167
3501905,168
3502002,169
3502101,170
3502200,171
3502309,172
3502408,173
3502507,174
3502606,175
3502705,176
3502754,734
3502804,177
3502903,178
3503000,179
3503109,180
3503158,735
3503208,181
3503307,182
3503356,775
3503406,183
3503505,184
3503604,185
3503703,186
3503802,187
3503901,188
3503950,736
3504008,189
3504107,190
3504206,191
3504305,192
3504404,193
3504503,194
3504602,195
3504701,196
3504800,197
3504909,198
3505005,199
3505104,200
3505203,201
3505302,202
3505351,737
3505401,203
3505500,204
3505609,205
3505708,206
3505807,207
3505906,208
3506003,209
3506102,210
3506201,211
3506300,212
3506359,738
3506409,213
3506508,214
3506607,215
3506706,216
3506805,217
3506904,218
3507001,219
3507100,220
3507159,739
3507209,221
3507308,222
3507407,223
3507456,721
3507506,224
3507605,225
3507704,226
3507753,776
3507803,227
3507902,228
3508009,229
3508108,230
3508207,231
3508306,232
3508405,233
3508504,234
3508603,235
3508702,236
3508801,237
3508900,238
3509007,239
3509106,240
3509205,241
3509254,740
3509304,242
3509403,243
3509452,741
3509502,244
3509601,245
3509700,246
3509809,247
3509908,248
3509957,777
3510005,249
3510104,250
3510153,742
3510203,251
3510302,252
3510401,253
3510500,254
3510609,255
3510708,256
3510807,257
3510906,258
3511003,259
3511102,260
3511201,261
3511300,262
3511409,263
3511508,265
3511607,264
3511706,266
3511904,267
3512001,268
3512100,269
3512209,270
3512308,271
3512407,272
3512506,273
3512605,274
3512704,275
3512803,276
3512902,277
3513009,278
3513108,279
3513207,280
3513306,281
3513405,282
3513504,283
3513603,284
3513702,285
3513801,286
3513850,722
3513900,287
3514007,288
3514106,289
3514205,290
3514304,291
3514403,292
3514502,293
3514601,294
3514700,295
3514809,296
3514908,297
3514924,743
3514957,723
3515004,298
3515103,299
3515129,744
3515152,745
3515186,530
3515194,724
3515202,301
3515301,300
3515350,725
3515400,302
3515509,304
3515608,303
3515657,786
3515707,305
3515806,306
3515905,307
3516002,308
3516101,309
3516200,310
3516309,311
3516408,312
3516507,313
3516606,314
3516705,315
3516804,316
3516853,787
3516903,317
3517000,318
3517109,319
3517208,320
3517307,321
3517406,322
3517505,323
3517604,324
3517703,325
3517802,326
3517901,327
3518008,328
3518107,329
3518206,330
3518305,331
3518404,332
3518503,333
3518602,334
3518701,335
3518800,336
3518859,726
3518909,337
3519006,338
3519055,747
3519071,748
3519105,339
3519204,340
3519253,727
3519303,341
3519402,342
3519501,343
3519600,344
3519709,345
3519808,346
3519907,347
3520004,348
3520103,349
3520202,350
3520301,351
3520400,352
3520426,767
3520442,749
3520509,353
3520608,354
3520707,355
3520806,356
3520905,357
3521002,358
3521101,359
3521150,784
3521200,360
3521309,361
3521408,362
3521507,363
3521606,364
3521705,365
3521804,366
3521903,367
3522000,368
3522109,369
3522158,750
3522208,370
3522307,371
3522406,372
3522505,373
3522604,374
3522653,768
3522703,375
3522802,376
3522901,377
3523008,378
3523107,379
3523206,380
3523305,381
3523404,382
3523503,383
3523602,384
3523701,385
3523800,386
3523909,387
3524006,388
3524105,389
3524204,390
3524303,391
3524402,392
3524501,393
3524600,394
3524709,395
3524808,396
3524907,397
3525003,398
3525102,399
3525201,400
3525300,401
3525409,402
3525508,403
3525607,404
3525706,405
3525805,406
3525854,788
3525904,407
3526001,408
3526100,409
3526209,410
3526308,411
3526407,412
3526506,413
3526605,414
3526704,415
3526803,416
3526902,417
3527009,418
3527108,419
3527207,420
3527256,769
3527306,421
3527405,422
3527504,423
3527603,424
3527702,425
3527801,426
3527900,427
3528007,428
3528106,429
3528205,430
3528304,431
3528403,432
3528502,433
3528601,434
3528700,435
3528809,436
3528858,751
3528908,437
3529005,438
3529104,439
3529203,440
3529302,441
3529401,442
3529500,443
3529609,444
3529658,770
3529708,445
3529807,446
3529906,448
3530003,447
3530102,449
3530201,450
3530300,451
3530409,452
3530508,453
3530607,454
3530706,455
3530805,456
3530904,457
3531001,458
3531100,459
3531209,460
3531308,461
3531407,462
3531506,463
3531605,464
3531704,466
3531803,465
3531902,467
3532009,468
3532058,729
3532108,469
3532157,789
3532207,470
3532306,471
3532405,472
3532504,473
3532603,474
3532702,475
3532801,476
3532827,771
3532843,752
3532868,790
3532900,477
3533007,478
3533106,479
3533205,480
3533254,753
3533304,481
3533403,482
3533502,483
3533601,484
3533700,485
3533809,486
3533908,487
3534005,488
3534104,489
3534203,490
3534302,491
3534401,492
3534500,493
3534609,494
3534708,495
3534757,791
3534807,496
3534906,497
3535002,498
3535101,499
3535200,500
3535309,501
3535408,502
3535507,503
3535606,504
3535705,505
3535804,506
3535903,508
3536000,509
3536109,507
3536208,510
3536257,754
3536307,511
3536406,512
3536505,513
3536570,792
3536604,514
3536703,515
3536802,516
3536901,517
3537008,518
3537107,519
3537156,755
3537206,520
3537305,521
3537404,522
3537503,523
3537602,524
3537701,525
3537800,526
3537909,527
3538006,528
3538105,529
3538204,531
3538303,532
3538501,533
3538600,534
3538709,535
3538808,537
3538907,538
3539004,539
3539103,540
3539202,541
3539301,536
3539400,542
3539509,543
3539608,544
3539707,545
3539806,546
3539905,547
3540002,548
3540101,549
3540200,550
3540259,756
3540309,551
3540408,552
3540507,553
3540606,554
3540705,555
3540754,757
3540804,556
3540853,778
3540903,557
3541000,558
3541059,779
3541109,559
3541208,560
3541307,561
3541406,562
3541505,563
3541604,564
3541653,780
3541703,565
3541802,566
3541901,567
3542008,568
3542107,569
3542206,570
3542305,571
3542404,572
3542503,573
3542602,574
3542701,575
3542800,576
3542909,577
3543006,578
3543105,579
3543204,580
3543238,793
3543253,758
3543303,581
3543402,582
3543501,583
3543600,584
3543709,585
3543808,586
3543907,587
3544004,588
3544103,589
3544202,590
3544251,730
3544301,591
3544400,592
3544509,593
3544608,594
3544707,595
3544806,596
3544905,597
3545001,598
3545100,599
3545159,759
3545209,600
3545308,602
3545407,601
3545506,603
3545605,604
3545704,605
3545803,606
3546009,608
3546108,609
3546207,610
3546256,781
3546306,611
3546405,612
3546504,613
3546603,614
3546702,615
3546801,616
3546900,617
3547007,618
3547106,619
3547205,624
3547304,623
3547403,620
3547502,621
3547601,622
3547650,782
3547700,625
3547809,626
3547908,627
3548005,630
3548054,760
3548104,628
3548203,629
3548302,631
3548401,632
3548500,633
3548609,634
3548708,635
3548807,636
3548906,637
3549003,638
3549102,639
3549201,640
3549250,761
3549300,641
3549409,642
3549508,644
3549607,643
3549706,646
3549805,647
3549904,645
3549953,772
3550001,648
3550100,649
3550209,650
3550308,100
3550407,651
3550506,652
3550605,653
3550704,654
3550803,655
3550902,656
3551009,657
3551108,658
3551207,659
3551306,660
3551405,661
3551504,663
3551603,662
3551702,664
3551801,665
3551900,666
3552007,667
3552106,668
3552205,669
3552304,670
3552403,671
3552502,672
3552551,762
3552601,673
3552700,674
3552809,675
3552908,676
3553005,677
3553104,678
3553203,679
3553302,680
3553401,681
3553500,682
3553609,683
3553658,785
3553708,684
3553807,685
3553856,763
3553906,686
3553955,731
3554003,687
3554102,688
3554201,689
3554300,690
3554409,691
3554508,692
3554607,693
3554656,773
3554706,694
3554755,794
3554805,695
3554904,696
3554953,764
3555000,697
3555109,698
3555208,699
3555307,700
3555356,765
3555406,701
3555505,702
3555604,703
3555703,704
3555802,705
3555901,706
3556008,707
3556107,709
3556206,708
3556305,710
3556354,766
3556404,711
3556453,720
3556503,712
3556602,713
3556701,714
3556800,715
3556909,716
3556958,783
3557006,717
3557105,718
3557154,774
3557204,719
3557303,746
